line_code,week_number,disruption_count,avg_severity,avg_duration_hours,pct_planned,log_avg_duration_hours,n_scheduled_trips,avg_run_time_minutes,n_avl_observations,avg_delay_minutes,total_disruptions_all_weeks,avg_fare
13,21,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,21,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,21,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,21,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,21,2,3.5,65.245,0.5,4.193359990320086,7,1.75,2,46.15,5,3.87
S1,21,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,21,2,2.5,23.065,0.5,3.1807585027550727,423,1.14,24,27.01,6,7.08
800,22,2,2.5,25.23,0.5,3.2669037938787824,134,1.94,12,63.91,4,1.73
S2X,22,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,22,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,22,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,22,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,22,1,1.0,0.91,1.0,0.6471032420585385,426,1.54,20,29.76,3,1.52
B4,22,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,22,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,22,2,2.5,14.65,0.0,2.750470916986162,162,1.24,27,71.74,6,3.49
X4,22,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,22,1,4.0,152.09,1.0,5.03102598374399,80,1.4,14,68.94,6,4.0
NS1,22,1,1.0,1.27,0.0,0.8197798314933114,16,1.3,1,72.82,3,3.0
26,22,1,4.0,24.06,0.0,3.221272949467922,47,1.39,1,14.25,4,2.27
S3,22,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,22,1,1.0,0.58,0.0,0.4574248470388754,355,1.2,15,32.45,7,1.64
H5,22,1,5.0,273.74,1.0,5.6158251958970595,57,1.89,5,36.4,5,3.71
B3,22,1,4.0,154.95,0.0,5.049535443053812,124,1.04,1,26.42,7,1.82
25,22,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,22,1,1.0,2.43,1.0,1.2325602611778486,65,1.37,2,35.4,6,3.16
B9,22,2,2.5,8.555,0.5,2.2570645776922365,272,1.16,9,24.42,7,1.86
B10,22,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,22,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,22,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,22,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,22,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,22,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,22,1,1.0,0.85,1.0,0.6151856390902335,676,1.41,31,35.01,2,18.46
N2,22,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,22,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,22,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,22,1,3.0,13.47,1.0,2.6720775406433925,223,1.2,11,25.13,4,3.41
NS9,22,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,22,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,22,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,22,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,22,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,22,1,2.0,7.67,0.0,2.1598687907924505,177,1.2,7,24.85,5,2.44
S9,22,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,22,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,22,1,2.0,6.22,0.0,1.9768549529047348,7,1.75,2,46.15,5,3.87
S1,22,1,1.0,1.1,0.0,0.7419373447293773,309,1.57,30,59.73,5,3.77
2,22,1,5.0,128.43,0.0,4.863140194454346,423,1.14,24,27.01,6,7.08
800,23,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,23,1,4.0,159.39,0.0,5.077608349349287,4,3.13,3,55.4,5,3.87
234,23,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,23,1,1.0,0.65,1.0,0.5007752879124893,50,1.89,4,75.96,7,4.35
29,23,1,3.0,34.62,1.0,3.5729072778615154,67,1.63,4,19.35,6,3.06
8,23,1,2.0,1.56,0.0,0.9400072584914712,426,1.54,20,29.76,3,1.52
B4,23,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,23,2,3.0,31.445,1.0,3.4795463480731317,57,1.91,4,60.98,5,3.91
S7,23,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,23,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,23,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,23,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,23,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,23,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,23,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,23,1,2.0,2.09,0.0,1.128171090909654,57,1.89,5,36.4,5,3.71
B3,23,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,23,1,3.0,12.67,1.0,2.6152036507358583,15,1.82,1,40.1,2,3.24
233,23,2,3.5,29.740000000000002,1.0,3.4255647381104497,65,1.37,2,35.4,6,3.16
B9,23,1,2.0,4.93,0.0,1.780024213009634,272,1.16,9,24.42,7,1.86
B10,23,1,3.0,13.64,1.0,2.6837575085331657,20,2.25,2,11.03,6,1.65
TUBE,23,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,23,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,23,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,23,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,23,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,23,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,23,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,23,1,4.0,54.9,0.0,4.023564380161053,307,1.97,28,50.23,4,3.46
10,23,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,23,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,23,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,23,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,23,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,23,1,1.0,0.67,0.0,0.5128236264286637,120,2.0,7,39.23,5,1.68
13,23,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,23,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,23,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,23,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,23,1,3.0,38.89,0.0,3.686125665917315,7,1.75,2,46.15,5,3.87
S1,23,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,23,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,24,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,24,2,2.0,11.905000000000001,1.0,2.5576148331705775,4,3.13,3,55.4,5,3.87
234,24,1,4.0,81.38,0.0,4.411342689007935,60,1.47,1,19.79,2,3.23
200,24,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,24,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,24,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,24,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,24,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,24,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,24,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,24,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,24,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,24,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,24,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,24,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,24,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,24,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,24,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,24,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,24,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,24,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,24,1,1.0,0.65,0.0,0.5007752879124893,559,6.97,52,100.54,6,14.43
500,24,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,24,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,24,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,24,2,4.0,117.785,0.5,4.777315136330485,103,1.6,7,37.07,5,1.58
1,24,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,24,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,24,1,1.0,1.89,1.0,1.0612565021243408,307,1.97,28,50.23,4,3.46
10,24,1,1.0,1.04,0.0,0.712949807856125,110,1.78,8,37.04,5,1.67
E1,24,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,24,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,24,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,24,1,2.0,6.32,1.0,1.9906103279732201,65,0.94,2,34.78,6,3.0
900,24,2,2.5,24.41,0.5,3.2351427973320726,120,2.0,7,39.23,5,1.68
13,24,1,3.0,6.8,1.0,2.0541237336955462,197,1.58,25,41.37,2,1.48
14,24,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,24,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,24,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,24,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,24,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,24,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,25,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,25,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,25,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,25,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,25,1,2.0,6.88,0.0,2.064327903869788,67,1.63,4,19.35,6,3.06
8,25,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,25,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,25,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,25,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,25,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,25,1,1.0,2.95,0.0,1.3737155789130306,80,1.4,14,68.94,6,4.0
NS1,25,1,4.0,74.37,1.0,4.322409317855379,16,1.3,1,72.82,3,3.0
26,25,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,25,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,25,1,1.0,1.57,0.0,0.9439058989071285,355,1.2,15,32.45,7,1.64
H5,25,1,2.0,3.19,1.0,1.4327007339340463,57,1.89,5,36.4,5,3.71
B3,25,1,5.0,330.7,1.0,5.804230945953007,124,1.04,1,26.42,7,1.82
25,25,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,25,1,4.0,136.34,0.0,4.9224596031925305,65,1.37,2,35.4,6,3.16
B9,25,1,2.0,1.51,0.0,0.9202827531436926,272,1.16,9,24.42,7,1.86
B10,25,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,25,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,25,2,3.0,83.085,1.0,4.431828191974713,88,1.73,14,61.13,5,3.92
N8,25,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,25,1,2.0,1.77,1.0,1.0188473201992472,148,1.1,9,26.27,1,1.85
9,25,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,25,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,25,1,2.0,2.06,0.0,1.1184149159642893,21,0.78,1,27.12,3,3.0
S5,25,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,25,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,25,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,25,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,25,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,25,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,25,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,25,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,25,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,25,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,25,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,25,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,25,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,25,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,26,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,26,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,26,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,26,2,3.0,68.315,0.5,4.23866133299034,50,1.89,4,75.96,7,4.35
29,26,1,2.0,5.03,0.0,1.7967470107390942,67,1.63,4,19.35,6,3.06
8,26,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,26,1,3.0,4.94,1.0,1.7817091333745536,122,1.43,1,22.43,2,1.75
488,26,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,26,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,26,1,3.0,5.71,0.0,1.9035989509835904,8,1.66,1,96.22,3,3.95
S4,26,1,2.0,2.87,0.0,1.3532545070416904,80,1.4,14,68.94,6,4.0
NS1,26,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,26,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,26,1,2.0,4.55,1.0,1.713797927758343,193,1.59,20,84.44,4,3.84
2A,26,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,26,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,26,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,26,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,26,1,3.0,8.76,1.0,2.278292400425001,65,1.37,2,35.4,6,3.16
B9,26,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,26,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,26,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,26,1,1.0,0.66,1.0,0.5068176023684519,88,1.73,14,61.13,5,3.92
N8,26,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,26,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,26,2,2.5,13.254999999999999,0.0,2.657107722364635,103,1.6,7,37.07,5,1.58
1,26,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,26,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,26,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,26,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,26,1,1.0,1.18,1.0,0.7793248768009976,223,1.2,11,25.13,4,3.41
NS9,26,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,26,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,26,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,26,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,26,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,26,1,3.0,37.04,1.0,3.6386382376771893,177,1.2,7,24.85,5,2.44
S9,26,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,26,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,26,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,26,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,26,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,27,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,27,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,27,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,27,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,27,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,27,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,27,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,27,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,27,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,27,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,27,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,27,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,27,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,27,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,27,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,27,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,27,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,27,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,27,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,27,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,27,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,27,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,27,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,27,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,27,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,27,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,27,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,27,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,27,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,27,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,27,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,27,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,27,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,27,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,27,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,27,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,27,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,27,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,27,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,27,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,27,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,27,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
