SituationNumber,LineRef,AffectedStopRef,AffectedStopName,Severity,ReasonCategory,ReasonType,Planned,StartTime,EndTime,DurationHours,IsSynthetic
SYN-377511,S7,340000859S,Frilford Golf Club,slight,PersonnelReason,industrialAction,False,2026-05-30T06:51:46.823432,2026-05-30T08:09:04.919881,1.29,True
SYN-943776,S7,300000037OJ,Brackley Juno Crescent,normal,PersonnelReason,staffShortage,False,2026-05-29T14:26:26.704928,2026-05-30T18:26:46.178322,28.01,True
SYN-853258,TUBE,340001430OUT,Neithrop Bath Road,verySlight,AccidentReason,vehicleFire,False,2026-06-12T15:52:28.268998,2026-06-12T16:31:27.486294,0.65,True
SYN-571435,TUBE,340001297WFR,Barton Malford Road,verySevere,MiscellaneousReason,specialEvent,True,2026-04-29T17:43:24.269221,2026-05-07T20:52:19.796936,195.15,True
SYN-856157,TUBE,340001024OPP,Garford Garford Turn,severe,RoadworksReason,resurfacingWork,True,2026-04-23T07:30:17.230519,2026-04-29T17:26:15.163274,153.93,True
SYN-352422,TUBE,340000201WSC,Chipping Norton West Street,verySevere,PersonnelReason,staffShortage,False,2026-04-29T03:27:51.224625,2026-05-06T11:16:48.596406,175.82,True
SYN-551860,TUBE,340001349OPP,Kidlington Osborne Close,verySlight,AccidentReason,accident,False,2026-04-20T08:42:43.029564,2026-04-20T10:42:20.698503,1.99,True
SYN-505116,TUBE,340001059OUT,Oxford Bevington Road,normal,RoadworksReason,resurfacingWork,True,2026-04-13T01:17:58.124484,2026-04-14T06:23:30.736875,29.09,True
SYN-684929,X4,340020005EAS,Banbury Kildare House,severe,PersonnelReason,staffShortage,False,2026-05-16T09:11:30.994462,2026-05-17T23:06:50.676817,37.92,True
SYN-579187,X4,340003095SOU,Wendlebury Wendlebury Turn,normal,PersonnelReason,staffSickness,False,2026-06-24T12:07:44.056645,2026-06-24T17:50:28.028898,5.71,True
SYN-631958,X4,340003135OPP,Ruscote Parklands,slight,MiscellaneousReason,diversion,True,2026-04-14T09:42:42.607746,2026-04-14T11:50:57.659302,2.14,True
